Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Book value,Price to book value,Piotroski score,Industry PE,PE Variance,Promoter holding,Change in promoter holding 3Years,FII holding,DII holding,Contingent liabilities,Pledged percentage,EVEBITDA,Enterprise Value,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Return over 3months,Return over 6months,Return over 1year,Return over 3years
Balkrishna Inds,502355,BALKRISIND,Tyres,1832.70,35429.24,33.35,280.12,6.54,5.00,21.30,1.57,58.30,0.00,14.40,14.60,671.25,0.00,19.90,36226.58,1690.97,1526.03,1685.18,1522.95,1.90,23.01,105.09,14.21
Balkrishna Paper,539251,BALKRISHNA,Paper,18.90,20.30,,-78.17,,6.00,18.33,,58.71,-0.94,0.00,0.00,12.19,0.00,-14.80,189.63,20.26,18.76,20.32,18.76,-7.80,40.00,56.85,-38.05
Ballarpur Inds.,500102,BALLARPUR,Paper,1.10,142.28,,0.51,2.15,4.00,18.33,,2.68,-22.37,0.63,30.24,432.29,9.62,-2.60,1080.98,1.16,1.25,1.16,1.25,-21.43,-8.33,144.44,-55.98
Balmer Law. Inv.,532485,,Finance & Investments,460.65,1022.64,12.06,79.03,5.83,6.00,17.34,0.70,59.67,0.00,5.73,0.15,0.00,0.00,10.98,952.84,449.71,408.71,449.27,408.19,14.26,37.69,50.54,4.66
Balmer Lawrie,523319,BALMLAWRIE,Diversified - Large,125.70,2149.52,25.90,84.65,1.48,4.00,14.44,1.79,0.00,0.00,1.71,3.50,147.73,0.00,10.80,1793.87,126.26,119.28,126.28,119.21,4.40,24.95,33.37,-5.18
Balrampur Chini,500038,BALRAMCHIN,Sugar,317.05,6658.05,13.71,114.65,2.77,5.00,11.26,1.22,41.21,1.37,21.57,15.06,2.46,0.00,9.93,6834.17,239.01,186.00,235.82,184.68,98.34,111.58,231.47,64.94
Balu Forge,531112,,Engineering,224.00,1536.98,2439.65,3.24,69.20,5.00,20.39,119.65,64.62,8.62,11.85,0.00,0.00,0.00,894.94,1521.39,202.46,138.38,201.58,137.52,45.12,98.23,509.52,49.08
Balurghat Tech,520127,,Miscellaneous,8.85,16.11,17.90,6.03,1.47,5.00,30.92,0.58,33.63,0.01,0.00,0.00,0.00,0.00,8.57,29.38,8.66,8.24,8.65,8.24,7.27,10.49,89.91,17.47
Bambino Agro Ind,519295,,Food - Processing - Indian,208.40,166.93,19.46,83.15,2.51,7.00,38.51,0.51,74.96,-0.01,0.00,0.00,0.00,0.00,9.53,237.72,185.72,184.39,184.79,184.15,9.71,1.68,119.14,-1.03
BAMPSL Sec.,531591,,Finance & Investments,3.96,13.48,64.19,10.93,0.36,3.00,17.34,3.70,10.83,0.00,0.00,0.00,0.00,0.00,24.07,13.48,3.29,1.96,3.27,1.94,106.25,428.00,266.67,27.74
Banaras Beads,526849,BANARBEADS,Glass & Glass Products,51.60,34.24,12.36,74.05,0.70,7.00,49.02,0.25,57.80,0.00,0.00,0.00,0.00,0.00,4.87,26.63,51.13,51.17,51.11,51.16,-11.03,-3.73,61.25,-3.52
Banas Finance,509053,,Finance & Investments,5.51,14.13,1.83,31.78,0.17,7.00,17.34,0.11,13.26,0.51,0.00,0.10,0.00,0.00,2.93,23.70,5.51,4.59,5.51,4.58,10.20,-3.33,571.95,13.69
Banco Products,500039,BANCOINDIA,Auto Ancillaries,151.80,1085.65,9.63,108.18,1.40,5.00,35.33,0.27,67.88,0.00,0.26,0.02,18.74,0.00,4.99,996.09,147.99,128.36,147.83,128.12,-3.40,63.23,135.90,-12.60
Bandhan Bank,541153,BANDHANBNK,Banks - Private Sector,297.35,47891.41,18.28,94.35,3.15,6.00,21.48,0.85,39.99,-42.29,34.91,1.91,466.58,0.00,13.47,112999.19,331.54,342.87,332.93,343.33,-9.77,-12.57,23.90,-15.26
Bang Overseas,532946,BANG,Textiles - Products,28.00,37.97,42.19,65.95,0.42,6.00,19.87,2.12,72.98,0.00,0.00,0.00,5.59,0.00,14.72,54.92,27.50,24.85,27.48,24.82,5.66,41.06,77.22,-8.46
Bangalore Fort,539120,,Trading,13.40,6.43,53.58,14.84,0.90,7.00,41.36,1.30,33.25,0.00,0.00,0.01,0.00,0.00,15.27,9.77,14.32,16.37,14.36,16.40,-2.19,-25.35,-23.86,-9.78
Bank of Baroda,532134,BANKBARODA,Banks - Public Sector,70.55,36483.96,13.28,147.16,0.48,5.00,19.38,0.69,63.97,-0.06,6.89,15.90,377459.05,0.00,20.59,974459.74,71.15,66.44,71.17,66.40,-14.48,50.91,71.65,-21.22
Bank of India,532149,BANKINDIA,Banks - Public Sector,67.65,22168.39,,137.55,0.49,3.00,19.38,,89.10,6.01,0.48,5.11,377384.60,0.00,21.95,532698.23,67.76,58.84,67.76,58.75,13.60,65.00,110.42,-13.16
Bank of Maha,532525,MAHABANK,Banks - Public Sector,24.35,15973.99,27.95,16.63,1.46,5.00,19.38,1.44,93.33,6.32,0.08,3.00,36529.21,0.00,19.41,159247.02,22.07,16.91,21.98,16.84,50.77,118.39,175.14,20.26
Banka Bioloo,,BANKA,Miscellaneous,63.65,65.44,10.82,27.13,2.35,4.00,26.63,0.41,59.11,,,,0.00,0.00,8.03,72.70,63.07,54.13,63.04,54.04,-17.39,63.21,157.48,13.34
Bannari Amm Spg.,532674,BASML,Textiles - Cotton/Blended,71.55,225.44,,89.27,0.80,5.00,13.05,,55.55,0.00,0.00,0.00,138.29,0.00,13.15,788.21,64.24,59.62,63.94,59.50,-0.90,57.67,89.04,-15.76
Bannari Amm.Sug.,500041,BANARISUG,Sugar,1981.70,2484.99,24.45,1037.35,1.91,5.00,11.26,2.17,58.70,0.00,0.15,0.09,1.48,0.00,13.65,3275.00,1688.60,1483.69,1676.64,1478.68,29.05,52.21,137.10,6.12
Bansal Roofing,538546,,Steel - Medium / Small,110.30,36.35,15.87,43.54,2.53,7.00,16.37,0.97,73.00,6.07,0.00,0.00,0.00,0.00,10.17,36.21,61.46,48.19,59.46,47.57,110.30,206.39,216.05,31.06
Banswara Syntex,503722,BANSWRAS,Textiles - Spinning - Synthetic / Blended,115.25,197.26,,190.70,0.60,8.00,10.99,,58.87,0.00,0.00,4.30,49.57,0.00,4.73,353.65,104.46,98.18,104.02,98.01,6.17,57.88,66.31,4.50
Barak Valley,532916,BVCL,Cement - North India,18.30,40.55,9.96,52.28,0.35,8.00,18.35,0.54,56.46,-0.10,0.00,0.00,32.42,0.00,6.37,136.00,17.67,16.06,17.65,16.03,7.65,32.13,90.62,-11.10
Barbeque-Nation,543283,BARBEQUE,Hotels,579.60,2175.99,,1.58,367.57,3.00,64.54,,35.70,,9.19,13.11,91.41,0.00,17.17,2887.83,614.89,597.81,616.33,598.00,,,,
Baroda Extrusion,513502,,Mining / Minerals / Metals,0.74,11.03,2.08,-2.43,,4.00,24.78,0.08,57.24,0.01,0.00,0.00,0.25,0.00,214.25,59.99,0.82,0.59,0.83,0.58,13.85,117.65,252.38,36.65
Baron Infotech,532336,,Computers - Software - Medium / Small,0.39,0.40,,1.42,0.27,8.00,27.79,,12.44,0.00,0.00,0.00,0.00,0.00,-18.50,0.37,0.32,0.28,0.32,0.28,11.43,14.71,85.71,19.25
Bartronics India,532694,BARTRONICS,Computers - Software - Medium / Small,2.20,7.49,,35.42,0.06,6.00,27.79,,10.54,0.00,0.00,1.95,163.94,0.42,69.10,342.03,2.45,2.44,2.46,2.44,-24.14,51.72,76.00,-43.66
Basant Agro Tech,524687,,Fertilizers,6.67,60.45,6.79,14.38,0.46,8.00,9.16,0.74,52.95,0.28,0.00,0.02,0.00,0.00,5.54,100.33,6.69,5.96,6.69,5.95,0.30,33.13,127.65,-0.20
BASF India,500042,BASF,Chemicals,2451.70,10613.41,51.89,405.19,6.05,8.00,25.38,2.04,73.33,0.00,1.96,7.76,440.49,0.00,21.59,10829.44,2072.42,1730.00,2056.94,1722.75,50.79,64.23,145.06,5.68
Bata India,500043,BATAINDIA,Leather / Leather Products,1351.35,17368.57,,132.18,10.22,6.00,38.42,,52.96,0.00,5.33,26.00,41.24,0.00,58.56,16778.39,1403.98,1439.72,1406.12,1440.61,-12.71,-0.38,4.50,19.55
Batliboi,522004,,Engineering,16.90,48.53,,40.92,0.41,3.00,20.39,,74.91,0.00,0.00,0.00,57.87,0.00,33.01,111.58,16.38,13.08,16.36,13.04,23.81,122.37,136.36,-10.79
Bayer Crop Sci.,506285,BAYERCROP,Pesticides / Agrochemicals - Multinational,5317.85,23899.53,48.55,563.37,9.44,8.00,40.27,1.21,71.43,2.74,2.87,12.49,731.90,0.00,26.93,22968.43,5250.65,5246.22,5247.90,5245.50,-3.15,-5.78,15.02,6.91
BCL Enterprises,539621,,Finance & Investments,7.42,4.33,1.83,9.83,0.75,3.00,17.34,0.11,3.15,-0.84,0.00,0.00,0.00,0.00,1.07,3.87,10.86,14.41,11.00,14.48,-54.48,-61.35,-55.30,-3.82
BCL Industries,524332,BCLIND,Solvent Extraction,125.00,301.88,8.86,110.97,1.13,5.00,23.44,0.38,61.36,5.49,0.00,1.62,5.87,0.00,6.46,472.26,113.10,87.75,112.62,87.38,24.44,110.08,253.61,-6.03
BCPL Railway,542057,,Engineering - Turnkey Services,44.55,74.50,7.59,38.76,1.15,5.00,10.10,0.75,74.10,,0.00,0.00,4.14,36.56,5.73,84.24,63.28,62.33,64.04,62.51,-52.81,-9.08,23.75,
BDH Industries,524828,,Pharmaceuticals - Indian - Formulations,96.00,55.30,9.77,69.34,1.38,9.00,28.21,0.35,49.79,-5.63,0.00,0.00,1.84,0.00,4.28,37.45,92.09,84.80,91.93,84.69,-9.69,23.08,55.47,10.09
Beardsell,539447,BEARDSELL,Plastics Products,14.05,39.48,,13.29,1.06,6.00,21.87,,61.33,-13.64,0.00,0.09,6.06,0.00,7.21,73.78,10.32,9.65,10.17,9.61,40.50,50.27,54.40,-33.83
Bedmutha Indus.,533270,BEDMUTHA,Steel - Medium / Small,24.05,77.59,,-59.78,,3.00,16.37,,57.05,-14.27,0.00,0.00,42.77,95.06,15.35,521.81,24.06,21.65,24.06,21.63,1.69,25.59,97.94,7.33
Beekay Niryat,539546,,Trading,4.02,3.09,7.36,19.61,0.20,4.00,41.36,0.18,71.00,-7.33,0.00,0.00,0.00,5.40,6.18,4.14,5.77,7.13,5.84,7.16,-41.74,-63.22,-66.42,-15.40
Beekay Steel Ind,539018,,Steel - Medium / Small,366.60,699.18,10.82,258.38,1.42,6.00,16.37,0.66,69.15,0.31,0.00,0.00,64.71,0.00,6.83,791.88,325.62,275.24,323.94,274.32,22.20,74.57,127.14,0.97
Bella Casa Fashi,539399,,Textiles - Products,111.25,127.66,28.43,47.63,2.34,6.00,19.87,1.43,68.09,-5.92,0.00,0.00,0.00,0.00,14.49,158.65,122.15,108.55,122.59,108.52,-16.07,73.83,25.71,-15.13
Bemco Hydraulics,522650,,Engineering,324.50,70.96,31.40,157.18,2.06,3.00,20.39,1.54,74.69,0.00,0.00,0.00,0.02,40.17,11.37,82.24,237.73,169.93,234.19,168.38,125.35,487.33,290.96,23.07
BEML Ltd,500048,BEML,Engineering,1175.20,4893.53,51.11,503.55,2.33,6.00,20.39,2.51,54.03,0.00,1.36,21.29,655.76,0.00,32.56,5174.38,1173.46,955.85,1173.39,953.64,24.88,89.26,108.13,2.45
Benara Bearings,541178,,Bearings,9.00,15.94,33.91,33.52,0.27,3.00,31.73,1.07,69.91,0.00,0.00,0.00,1.45,0.00,7.79,65.94,9.96,13.26,9.99,13.30,-15.89,-14.29,-61.12,-47.75
Benares Hotels,509438,,Hotels,1225.00,159.25,,555.62,2.20,3.00,64.54,,62.57,0.02,0.00,0.00,0.37,0.00,171.79,166.64,1268.56,1275.76,1270.33,1276.27,-5.77,2.08,1.24,-0.67
Bengal & Assam,533095,,Finance & Investments,1380.60,1559.57,4.42,3032.71,0.46,5.00,17.34,0.25,72.66,-2.31,0.00,1.65,0.00,0.00,4.32,6709.26,1375.30,1369.98,1375.09,1369.87,-1.61,-7.88,17.20,-16.48
Bengal Tea & Fab,532230,,Textiles - Composite,43.55,39.22,,107.72,0.40,5.00,24.88,,73.38,0.00,0.00,0.43,2.84,0.00,16.23,55.51,40.06,36.50,39.92,36.43,16.13,31.57,53.62,-6.37
Berger Paints,509480,BERGEPAINT,Paints / Varnishes,715.45,69491.30,113.02,29.52,24.23,6.00,84.78,1.33,74.98,-0.01,11.24,4.02,169.28,0.00,63.26,70026.11,726.39,670.35,726.84,669.90,-2.01,9.48,57.10,38.34
Bervin Invest.,531340,,Finance & Investments,9.92,5.85,2.67,36.61,0.27,5.00,17.34,0.15,73.55,0.02,0.00,0.00,0.00,0.00,3.85,13.77,9.56,10.40,9.54,10.40,3.98,43.15,-9.65,-26.22
Beryl Drugs,524606,,Pharmaceuticals - Indian - Formulations,6.98,3.54,,15.79,0.44,5.00,28.21,,24.92,0.00,0.00,0.00,0.58,0.00,6.94,8.05,6.45,6.75,6.43,6.75,-12.20,9.58,97.73,-16.76
Beryl Securities,531582,,Finance & Investments,6.46,3.13,9.78,18.02,0.36,7.00,17.34,0.56,52.42,26.00,0.00,0.00,0.06,0.00,6.41,2.82,6.67,7.13,6.67,7.14,7.67,-27.25,-12.82,20.63
Best Agrolife,539660,BESTAGRO,Trading,305.40,672.86,24.82,93.99,3.25,8.00,41.36,0.60,40.78,30.92,10.41,0.00,85.49,0.00,16.02,703.47,424.05,452.96,428.97,454.46,-44.76,-29.13,49.41,396.18
Best Eastern Hot,508664,,Hotels,20.25,34.12,,1.41,14.40,4.00,64.54,,75.00,0.00,0.00,0.02,0.00,0.00,-1851.50,37.03,18.10,20.81,18.01,20.82,-3.57,38.70,215.42,-39.13
Beta Drugs Ltd,,BETA,Pharmaceuticals - Indian - Bulk Drugs,208.45,200.40,17.10,59.40,3.51,6.00,19.45,0.88,66.68,,,,0.73,0.00,8.62,217.58,148.21,116.79,145.76,115.87,67.03,82.69,275.59,16.51
Betex India,512477,,Textiles - Processing,48.80,7.32,4.63,155.00,0.31,6.00,16.32,0.28,53.29,-0.53,0.00,0.00,18.88,0.00,4.88,14.43,42.56,30.66,42.30,30.48,105.04,215.25,376.10,-1.49
BF Investment,533303,BFINVEST,Finance & Investments,289.80,1091.39,10.51,560.73,0.52,6.00,17.34,0.61,73.38,0.00,1.11,0.44,0.00,0.00,5.50,1077.20,289.11,287.94,289.09,287.92,1.38,7.06,21.71,-6.61
BF Utilities,532430,BFUTILITIE,Power Generation And Supply,271.30,1021.72,,-64.13,,6.00,18.60,,55.99,0.01,0.28,0.10,71.00,0.00,11.12,2639.10,263.60,259.20,263.28,259.08,-4.99,12.13,65.07,-12.74
BGR Energy Sys.,532930,BGRENERGY,Engineering - Turnkey Services,46.80,337.71,,132.02,0.35,4.00,10.10,,75.00,0.00,0.00,0.26,1106.30,0.00,-11.10,2054.49,45.25,42.14,45.19,42.09,4.82,45.57,103.04,-23.76
Bhagawati Oxygen,509449,,Chemicals,27.10,6.26,,48.21,0.56,5.00,25.38,,43.30,0.00,0.00,12.99,8.31,0.00,-11.02,10.03,18.46,16.59,18.10,16.48,121.22,105.30,171.00,-2.29
Bhageria Indust.,530803,BHAGERIA,Dyes And Pigments,171.70,749.37,12.88,94.15,1.82,4.00,22.02,0.58,70.91,16.99,0.05,0.00,1.03,0.00,7.24,721.78,161.82,148.69,161.41,148.46,-0.29,34.56,53.44,5.57
Bhagiradha Chem.,531719,,Pesticides / Agrochemicals - Indian,493.20,409.83,18.06,187.53,2.63,6.00,25.17,0.72,24.90,4.97,2.89,0.00,4.67,0.00,9.81,467.14,466.39,406.18,465.29,405.31,31.84,17.43,81.09,19.64
Bhagwati Auto,504646,,Castings & Forgings,151.70,43.69,43.69,92.72,1.64,5.00,38.75,1.13,72.93,7.87,0.00,0.00,1.87,0.00,11.62,49.49,140.91,122.48,140.47,122.19,26.42,38.41,104.31,9.74
Bhagya. Prop.,540621,BHAGYAPROP,Construction,27.00,86.39,25.56,36.61,0.74,6.00,33.90,0.75,75.00,0.00,0.00,0.87,0.00,0.00,22.36,100.84,27.77,25.23,27.81,25.21,8.00,18.94,49.58,6.50
Bhagyanagar Ind,512296,BHAGYANGR,Mining / Minerals / Metals,51.15,163.65,96.26,38.89,1.32,5.00,24.78,3.88,74.01,1.05,0.00,0.85,18.30,0.00,17.78,250.22,45.32,32.88,45.09,32.70,50.22,192.29,255.21,5.11
Bhakti Gems,540545,,Diamond Cutting / Jewellery,25.10,25.17,11.87,15.45,1.62,4.00,22.12,0.54,53.03,-15.24,0.00,0.00,0.00,0.00,8.51,25.02,41.59,50.07,42.26,50.33,-61.88,-53.94,-59.19,11.54
Bhandari Hosiery,512608,BHANDARI,Textiles - Products,2.25,32.97,137.38,4.96,0.45,4.00,19.87,6.91,24.95,0.00,0.27,0.00,0.01,0.00,8.61,146.18,2.39,2.06,2.40,2.06,-21.05,104.55,150.00,-5.90
Bhansali Engg.,500052,BEPL,Petrochemicals,169.35,2809.61,8.41,41.07,4.12,8.00,11.05,0.76,56.45,1.45,0.95,0.02,0.00,0.00,5.81,2656.51,153.68,120.06,153.04,119.56,24.29,88.80,376.37,-0.66
Bharat Agri Fert,531862,,Fertilizers,163.20,86.26,,123.72,1.32,3.00,9.16,,67.91,-0.01,0.00,0.00,0.00,0.00,-96.43,94.50,161.83,159.93,161.77,159.89,0.83,2.32,0.74,5.78
Bharat Bhushan,511501,,Finance & Investments,19.15,6.47,20.22,45.97,0.42,7.00,17.34,1.17,54.00,0.18,0.00,0.00,0.00,0.00,18.94,6.25,17.99,17.32,17.94,17.30,12.98,4.93,20.82,1.90
Bharat Bijlee,503960,BBL,Electric Equipment,1121.25,633.68,23.32,1402.84,0.80,5.00,25.64,0.91,33.45,-0.18,0.00,15.55,4.65,0.00,12.01,823.19,1104.49,956.19,1103.80,954.53,7.44,48.08,69.76,-12.14
Bharat Dynamics,541143,BDL,Engineering,335.10,6141.75,20.00,136.86,2.45,8.00,20.39,0.98,74.93,-12.82,0.28,17.52,302.00,0.00,10.63,5386.65,339.18,331.62,339.35,331.59,-0.74,9.56,53.43,-4.76
Bharat Electron,500049,BEL,Electronics - Components,137.90,33600.62,18.90,41.55,3.32,5.00,32.93,0.57,51.14,-15.65,11.58,30.21,2219.39,0.00,11.92,33600.62,131.12,118.21,130.85,118.02,-1.64,48.20,130.99,1.38
Bharat Forge,500493,BHARATFORG,Castings & Forgings,636.80,29648.68,,113.61,5.61,5.00,38.75,,45.76,0.01,24.94,12.17,607.67,0.00,46.47,33800.10,603.15,542.21,601.78,541.26,3.06,28.97,127.59,-4.41
Bharat Gears,505688,BHARATGEAR,Auto Ancillaries,88.20,82.08,,68.93,1.28,3.00,35.33,,55.32,0.47,0.00,0.03,0.42,0.00,6.43,203.11,77.57,68.54,77.14,68.34,16.13,75.00,145.00,-18.95
Bharat Immunolog,524663,,Pharmaceuticals - Indian - Formulations,50.90,219.79,,3.23,15.78,4.00,28.21,,59.25,0.00,0.00,0.00,0.00,0.00,-96.37,255.38,49.54,43.77,49.49,43.70,-38.34,83.42,184.36,32.66
Bharat Parenter.,541096,,Pharmaceuticals - Indian - Formulations,388.05,222.34,8.52,237.36,1.63,5.00,28.21,0.30,74.42,0.00,0.00,0.01,26.24,0.00,5.56,215.81,369.19,351.66,368.42,351.29,1.28,10.84,93.06,15.78
Bharat Rasayan,590021,BHARATRAS,Pesticides / Agrochemicals - Indian,11630.60,4943.01,32.04,1518.49,7.66,6.00,25.17,1.27,74.83,0.00,,,18.12,0.00,21.18,4948.62,10389.39,9403.33,10338.73,9380.95,16.36,26.52,86.05,22.53
Bharat Road,540700,BRNL,Construction,28.20,236.74,,109.66,0.26,6.00,14.45,,53.76,-11.34,0.00,0.79,72.33,0.00,13.56,1856.14,29.71,34.28,29.78,34.34,-14.93,-2.93,-29.59,-45.55
Bharat Seats,523229,,Auto Ancillaries,73.55,230.95,,33.29,2.21,5.00,35.33,,74.59,0.21,0.00,0.11,3.82,0.00,12.92,283.24,71.57,69.08,71.49,69.03,-11.65,20.87,70.45,-28.95
Bharat Wire,539799,BHARATWIRE,Steel - Medium / Small,46.80,292.84,,1.20,38.99,6.00,16.37,,37.88,-2.35,0.87,10.00,0.54,69.14,16.78,639.35,40.76,33.63,40.51,33.50,35.65,105.26,183.64,-26.89
Bharatiya Glob.,533499,BGLOBAL,Computers - Software - Medium / Small,1.20,1.90,,57.81,0.02,3.00,27.79,,40.18,-8.64,0.00,0.00,6.66,65.90,31.96,7.67,1.31,1.66,1.31,1.67,9.09,9.09,9.09,-38.26
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,568.50,312221.75,,108.05,5.26,6.00,27.21,,55.86,-11.31,18.57,20.35,13967.60,0.00,8.27,458415.35,541.41,522.87,540.30,522.42,-2.17,20.50,7.25,15.44
Bhartiya Intl.,526666,BIL,Leather / Leather Products,205.05,250.21,,269.77,0.76,4.00,38.42,,57.38,9.78,0.00,8.55,98.41,0.00,24.48,659.93,181.64,160.19,180.68,159.74,22.82,48.64,94.82,-20.29
Bhaskar Agrochem,524534,,Pesticides / Agrochemicals - Indian,36.55,19.04,52.89,,,7.00,25.17,2.10,62.20,0.00,0.00,0.00,0.00,0.00,10.78,28.99,33.17,26.17,33.03,26.07,9.76,125.62,206.63,
Bhatia Communic.,540956,,Trading,67.00,83.85,15.56,30.38,2.21,6.00,41.36,0.38,73.63,0.00,0.00,0.00,0.26,0.00,8.09,80.14,70.40,73.00,70.54,73.06,0.37,-10.67,-12.99,-7.63
Bhilwara Spinner,514272,,Textiles - Cotton/Blended,14.50,9.80,15.81,32.52,0.45,7.00,13.05,1.21,49.51,-2.74,1.62,0.04,0.00,0.00,14.93,8.96,14.09,12.71,14.07,12.69,1.83,7.41,62.92,17.32
Bhilwara Tech,533108,,Textiles - Products,6.39,37.30,,21.96,0.29,5.00,19.87,,65.23,1.54,0.00,1.81,0.00,0.00,-8.13,36.81,6.36,5.70,6.36,5.69,10.17,68.60,41.69,-21.52
Bhoruka Alum.,506027,,Aluminium and Aluminium Products,0.29,1.59,,2.21,0.13,3.00,17.86,,33.77,0.00,0.00,0.00,8.80,0.00,-3.14,5.09,0.30,0.46,0.31,0.46,7.41,7.41,7.41,-17.69
BIGBLOC Const.,540061,BIGBLOC,Cement Products,81.90,115.95,445.96,19.02,4.31,7.00,16.17,27.58,70.81,0.31,0.00,0.00,0.31,0.00,18.82,171.25,97.39,88.71,98.02,88.78,-31.29,4.87,206.17,-20.73
Bihar Sponge,500058,,Steel - Sponge Iron,4.83,43.57,27.58,-9.73,,3.00,12.98,2.12,69.61,0.00,0.53,0.21,26.59,51.76,9.11,42.92,2.90,1.60,2.83,1.57,177.59,265.91,1320.59,51.10
Bil Energy Sys.,533321,BILENERGY,Steel - Medium / Small,0.55,11.63,,0.25,2.21,4.00,16.37,,46.79,0.00,0.00,1.65,12.66,64.99,-1.13,11.55,0.77,0.88,0.78,0.88,-38.89,-26.67,-8.33,-2.86
Bilcare,526853,,Packaging,53.15,125.14,,37.33,1.42,7.00,11.33,,30.02,0.00,0.04,0.00,588.06,1.39,11.48,791.32,53.72,47.89,53.74,47.84,-10.90,26.40,116.94,0.57
Billwin Indust.,543209,,Textiles - Products,22.60,4.82,34.43,,,2.00,19.87,1.73,68.74,,0.00,0.00,0.00,0.00,39.95,8.79,33.76,38.62,34.22,38.78,-28.25,-44.20,,
Bimetal Bearings,505681,,Bearings,287.10,109.96,24.01,452.26,0.63,5.00,35.12,0.68,74.88,0.00,0.00,0.00,1.71,0.00,10.33,111.43,299.32,292.80,299.82,292.85,-3.74,9.14,38.70,-20.66
Binayaka Tex Pr,523054,,Textiles - Processing,533.70,37.89,,994.38,0.54,6.00,16.32,,59.10,0.00,0.00,0.00,29.12,0.00,13.15,77.07,524.68,526.18,524.31,526.10,-22.65,28.60,31.42,-0.57
Bindal Exports L,540148,,Textiles - Products,3.22,1.48,10.57,18.82,0.17,7.00,19.87,0.53,72.87,0.00,0.00,0.00,2.90,0.00,9.28,8.91,10.32,14.87,10.61,14.99,-50.46,-63.74,-60.34,-40.52
Binny,514215,,Construction,113.95,254.34,,146.84,0.78,6.00,33.90,,74.69,0.00,0.08,1.71,336.65,0.00,5.65,511.44,112.17,104.84,112.10,104.75,18.14,5.80,118.71,-18.83
Binny Mills,535620,,Trading,60.15,19.19,0.89,-447.29,,5.00,41.36,0.02,74.86,0.00,0.00,2.82,0.21,0.00,4.36,157.68,64.54,60.99,64.72,61.00,1.09,51.32,98.19,-37.70
Bio Green Papers,534535,,Paper,3.00,7.75,,18.20,0.16,5.00,18.33,,25.56,-3.98,0.00,0.00,0.00,25.98,-21.76,11.10,3.02,2.51,3.02,2.51,-11.76,109.79,78.57,-3.22
Biocon,532523,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,381.15,45760.87,62.54,63.53,6.00,5.00,27.08,2.31,60.67,-0.92,16.30,7.14,1419.00,0.00,25.94,47423.77,399.65,402.94,400.40,403.16,-6.40,-8.38,6.10,6.80
Biofil Chemicals,524396,BIOFILCHEM,Pharmaceuticals - Indian - Formulations,76.05,123.73,68.36,9.85,7.72,7.00,28.21,2.42,46.82,0.00,0.00,0.08,0.00,0.00,47.97,124.23,80.34,90.17,80.52,90.31,-14.12,-37.79,536.40,78.37
Biogen Pharma,531752,,Finance & Investments,0.23,15.01,,0.85,0.27,3.00,17.34,,0.00,0.00,0.00,0.00,0.00,0.00,-6.63,15.32,0.24,0.22,0.24,0.22,9.52,9.52,21.05,-6.35
Birla Cable,500060,BIRLACABLE,Cables - Telephone,62.25,186.75,94.80,53.72,1.16,5.00,44.07,2.15,66.36,0.00,0.00,0.01,0.21,6.28,12.31,229.30,60.62,58.48,60.55,58.45,-0.56,23.27,58.60,-5.24
Birla Corpn.,500335,BIRLACORPN,Cement - North India,937.90,7222.77,12.55,651.40,1.44,8.00,18.35,0.68,62.90,0.00,3.61,13.77,424.12,0.00,7.46,10474.47,895.76,768.75,894.04,767.05,12.90,38.84,146.62,8.05
Birla Precision,522105,,Engineering,11.27,73.56,,14.80,0.76,3.00,20.39,,59.84,9.62,0.00,0.02,256.07,0.34,10.10,86.79,10.08,8.22,10.03,8.19,41.94,112.64,112.24,11.68
Birla Tyres,542932,BIRLATYRE,Tyres,23.80,339.36,,-31.26,,2.00,21.30,,55.89,,0.00,2.15,229.18,44.82,-8.91,1176.69,25.00,24.45,25.05,24.46,-21.45,19.00,186.75,
Birlasoft Ltd,532400,BSOFT,Computers - Software - Medium / Small,252.40,6998.70,24.06,72.36,3.49,5.00,27.79,0.87,40.72,20.99,17.40,17.66,154.21,0.00,11.96,6298.29,248.70,209.22,248.55,208.78,-7.00,36.99,251.78,15.42
BKM Industries,539043,BKMINDST,Packaging,0.90,5.90,,20.47,0.04,5.00,11.33,,52.88,-10.07,0.00,10.00,11.88,35.50,-10.99,152.05,0.96,1.06,0.96,1.06,-10.00,50.00,50.00,-69.33
BKV Industries,519500,,Aquaculture,6.25,9.66,56.82,2.42,2.58,5.00,26.57,2.14,70.01,-0.03,0.00,0.43,0.00,0.00,50.60,10.12,4.23,3.35,4.14,3.32,52.44,134.96,128.94,57.49
Black Rose Indus,514183,,Trading,175.50,895.05,39.50,14.82,11.84,7.00,41.36,0.96,75.00,0.00,0.16,0.00,2.06,0.00,25.88,908.32,164.51,140.14,164.06,139.78,27.68,45.10,97.97,52.48
BLB,532290,BLBLIMITED,Finance & Investments,6.30,33.31,24.49,14.67,0.43,7.00,17.34,1.41,70.45,3.15,0.00,0.00,55.00,0.00,6.58,17.50,6.03,5.54,6.02,5.53,24.75,32.63,96.88,-7.65
