NAME,MCAP,CMP,PE,Earning1,Earning2,Earning3,Earning4,DebtScore1,DebtScore2,DebtScore3,DebtScore4,DebtScore5,CashScore,IV-Max,IV-Avg,IV-Min,CAGR-Max,CAGR-Avg,CAGR-Min,ReturnMultiple-Max,ReturnMultiple-Avg,ReturnMultiple-Min
BANSWARA SYNTEX LTD,197.26,115.25,-616.4374999999994,7.0,4.0,5.0,4.0,1.0,0.0,0.0,8.0,6.0,8.0,8350.186463211805,5214.64738178547,3600.442211165025,0.8309841810085534,0.7443767267801811,0.6781064406744883,423.4926934568257,260.85720549259224,177.09040961148187
BARAK VALLEY CEMENTS LTD,40.55,18.3,10.64304461942257,6.0,3.0,3.0,3.0,10.0,1.0,0.0,8.0,0.0,6.0,-279.8801091635764,-174.55560274660664,-120.3335508326564,,,,-89.52227478237512,-55.117210330610334,-37.39658829858968
BARBEQUE-NATION HOSPITALITY LTD,2175.99,579.6,,5.0,2.0,2.0,0.0,3.0,2.0,10.0,8.0,6.0,1.0,61.51145472693723,39.029551100644746,27.455654511722756,-0.048315085888467224,-0.09280711382631834,-0.1266551937103112,0.6094412559290497,0.3775690264115387,0.2581412559807528
BARODA EXTRUSION LTD,11.03,0.74,2.0772128060263655,5.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,6.0,1.0,-14.541470715201893,-9.0765881067402,-6.263214860759231,,,,-114.92164108295559,-70.7754589755213,-48.03759117180416
BARON INFOTECH LTD,0.4,0.39,-20.000000000000007,6.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,6.0,4.0,1.405452982209814,0.8829537486389654,0.6139662021365572,0.35540408246324096,0.291567939537279,0.24282641889876344,20.926080610937493,12.917324218749998,8.792345898437496
BARTRONICS INDIA LTD,7.49,2.2,-0.14529582929194956,3.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,7.0,764.2367412726658,477.60000449110584,330.0367017903496,1.1415386173218094,1.0402929420061153,0.9628413609928848,2028.8928060089283,1250.043920018358,848.8911551965115
BASANT AGRO TECH (INDIA) LTD,60.45,6.67,6.792134831460674,8.0,7.0,7.0,7.0,3.0,1.0,0.0,8.0,6.0,6.0,88.43451980848094,55.23281902477394,38.140269486506654,0.5449825075996193,0.4719088356604806,0.4159964679777486,77.4882167943186,47.73194407826716,32.4057218989092
BASF INDIA LTD,10613.41,2451.7,19.977431437875282,10.0,3.0,3.0,3.0,7.0,4.0,0.0,8.0,6.0,5.0,6749.999395852851,4217.70529891813,2914.056350953428,0.3201887547522462,0.25776751721191693,0.210013600202537,16.08274927576857,9.908404903560683,6.728256147588285
BATA INDIA LTD,17368.57,1351.35,-211.52807209840458,8.0,5.0,6.0,5.0,10.0,9.0,10.0,8.0,6.0,6.0,-4244.168167566874,-2635.67616979457,-1807.6092784947944,,,,-18.46960774015227,-11.354277008385333,-7.689465198274184
BATLIBOI LTD,48.53,16.9,-7.178994082840237,4.0,1.0,0.0,1.0,8.0,4.0,0.0,8.0,0.0,5.0,-11.440502742361234,-7.054940111524159,-4.797210996709003,,,,-4.011130388271379,-2.45987734713061,-1.6608912311005861
